SKU,Description,Category,Price,City,Date,Units,Sales
F001,Prateek England,Fashion,1104,Pune,2025-01-01,20,26
F001,Prateek England,Fashion,1104,Pune,2025-01-02,27,69
F001,Prateek England,Fashion,1104,Pune,2025-01-03,23,10
F001,Prateek England,Fashion,1104,Pune,2025-01-04,19,7
F001,Prateek England,Fashion,1104,Pune,2025-01-05,20,25
F001,Prateek England,Fashion,1104,Pune,2025-01-06,19,32
F001,Prateek England,Fashion,1104,Pune,2025-01-07,19,6
F001,Prateek England,Fashion,1104,Pune,2025-01-08,19,34
F001,Prateek England,Fashion,1104,Pune,2025-01-09,24,32
F001,Prateek England,Fashion,1104,Pune,2025-01-10,20,35
F001,Prateek England,Fashion,1104,Pune,2025-01-11,26,29
F001,Prateek England,Fashion,1104,Pune,2025-01-12,23,10
F001,Prateek England,Fashion,1104,Pune,2025-01-13,30,32
F001,Prateek England,Fashion,1104,Pune,2025-01-14,28,56
F001,Prateek England,Fashion,1104,Pune,2025-01-15,30,35
F001,Prateek England,Fashion,1104,Pune,2025-01-16,24,20
F001,Prateek England,Fashion,1104,Pune,2025-01-17,30,2
F001,Prateek England,Fashion,1104,Pune,2025-01-18,25,8
F001,Prateek England,Fashion,1104,Pune,2025-01-19,25,34
F001,Prateek England,Fashion,1104,Pune,2025-01-20,22,24
F001,Prateek England,Fashion,1104,Pune,2025-01-21,25,6
F001,Prateek England,Fashion,1104,Pune,2025-01-22,21,9
F001,Prateek England,Fashion,1104,Pune,2025-01-23,19,9
F001,Prateek England,Fashion,1104,Pune,2025-01-24,31,30
F001,Prateek England,Fashion,1104,Pune,2025-01-25,26,20
F001,Prateek England,Fashion,1104,Pune,2025-01-26,30,12
F001,Prateek England,Fashion,1104,Pune,2025-01-27,21,21
F001,Prateek England,Fashion,1104,Pune,2025-01-28,34,29
F001,Prateek England,Fashion,1104,Pune,2025-01-29,30,3
F001,Prateek England,Fashion,1104,Pune,2025-01-30,22,49
F001,Prateek England,Fashion,1104,Pune,2025-01-31,30,3
F001,Prateek England,Fashion,1104,Aurangabad,2025-01-01,21,8
F001,Prateek England,Fashion,1104,Aurangabad,2025-01-02,19,19
F001,Prateek England,Fashion,1104,Aurangabad,2025-01-03,20,12
F001,Prateek England,Fashion,1104,Aurangabad,2025-01-04,28,15
F001,Prateek England,Fashion,1104,Aurangabad,2025-01-05,23,16
F001,Prateek England,Fashion,1104,Aurangabad,2025-01-06,25,35
F001,Prateek England,Fashion,1104,Aurangabad,2025-01-07,24,0
F001,Prateek England,Fashion,1104,Aurangabad,2025-01-08,19,39
F001,Prateek England,Fashion,1104,Aurangabad,2025-01-09,20,0
F001,Prateek England,Fashion,1104,Aurangabad,2025-01-10,25,13
F001,Prateek England,Fashion,1104,Aurangabad,2025-01-11,28,28
F001,Prateek England,Fashion,1104,Aurangabad,2025-01-12,29,26
F001,Prateek England,Fashion,1104,Aurangabad,2025-01-13,23,23
F001,Prateek England,Fashion,1104,Aurangabad,2025-01-14,27,0
F001,Prateek England,Fashion,1104,Aurangabad,2025-01-15,21,7
F001,Prateek England,Fashion,1104,Aurangabad,2025-01-16,19,10
F001,Prateek England,Fashion,1104,Aurangabad,2025-01-17,26,15
F001,Prateek England,Fashion,1104,Aurangabad,2025-01-18,22,29
F001,Prateek England,Fashion,1104,Aurangabad,2025-01-19,25,14
